CNT	SUBNATIO	STRATUM	OECD	NC	SCHOOLID	SC01Q01	SC02Q01	SC02Q02	SC02Q03	SC02Q04	ausSC03N01	SC04Q01	SC05Q01	SC07Q01	SC07Q02	SC09Q11	SC09Q12	SC09Q21	SC09Q22	SC09Q31	SC09Q32	SC10Q11	SC10Q12	SC10Q61	SC10Q62	SC10Q21	SC10Q22	SC10Q41	SC10Q42	SC10Q51	SC10Q52	SC11Q01	SC11Q02	SC11Q03	SC13Q01	SC13Q02	SC13Q03	SC14Q01	SC14Q02	SC14Q03	SC14Q04	SC14Q05	SC14Q06	SC14Q07	SC14Q08	SC14Q09	SC14Q10	SC14Q11	SC14Q12	SC14Q13	SC15Q01	SC15Q02	SC15Q03	SC15Q04	SC16Q01	SC16Q02	SC16Q03	SC16Q04	SC16Q05	SC16Q06	SC16Q07	SC16Q08	SC16Q09	SC16Q10	SC16Q11	SC18Q01	SC18Q02	SC18Q03	SC18Q04	SC18Q05	SC18Q06	SC18Q07	SC18Q08	SC19Q01	SC19Q02	SC20Q01	SC21Q05	SC22Q01	SC22Q02	SC22Q03	SC22Q04	SC22Q05	SC22Q06	SC22Q07	SC22Q08	SC22Q09	SC22Q10	SC22Q11	SC22Q12	SC22Q13	SC22Q14	SC22Q15	SC22Q16	SC22Q17	SC22Q18	SC22Q19	SC23Q01	SC24Q01	SC25Q01	SC25Q02	SC25Q03	SC25Q04	SC25Q05	SC25Q06	SC25Q07	SC25Q08	SC25Q09	SC25Q10	SC25Q11	SC25Q12	SC26Q01	SC26Q02	SC26Q03	SC26Q04	SC27Q01	SC27Q02	SC28Q01	SC28Q02	SC29Q01	SC29Q02	SC30Q01	SC30Q02	SC30Q03	SC30Q04	SC31Q01	SC31Q02	SC31Q03	SC31Q04	SC31Q05	SC31Q06	SC31Q07	SC32Q01	SC32Q03	SC32Q04	SC32Q05	SC32Q06	SC32Q07	SC32Q08	SC33Q01A	SC33Q01B	SC33Q01C	SC33Q01D	SC33Q01E	SC33Q02A	SC33Q02B	SC33Q02C	SC33Q02D	SC33Q02E	SC33Q03A	SC33Q03B	SC33Q03C	SC33Q03D	SC33Q03E	SC33Q04A	SC33Q04B	SC33Q04C	SC33Q04D	SC33Q04E	SC33Q05A	SC33Q05B	SC33Q05C	SC33Q05D	SC33Q05E	SC33Q06A	SC33Q06B	SC33Q06C	SC33Q06D	SC33Q06E	SC33Q07A	SC33Q07B	SC33Q07C	SC33Q07D	SC33Q07E	SC33Q08A	SC33Q08B	SC33Q08C	SC33Q08D	SC33Q08E	SC33Q09A	SC33Q09B	SC33Q09C	SC33Q09D	SC33Q09E	SC33Q10A	SC33Q10B	SC33Q10C	SC33Q10D	SC33Q10E	SC33Q11A	SC33Q11B	SC33Q11C	SC33Q11D	SC33Q11E	SC33Q12A	SC33Q12B	SC33Q12C	SC33Q12D	SC33Q12E	SC34Q01	SC34Q02	SC34Q03	SC34Q04	SC34Q05	SC34Q06	SC34Q07	SC34Q08	SC34Q09	SC34Q10	SC34Q11	SC34Q12	SC34Q13	SC34Q14	SC34Q15	SC34Q16	SC34Q17	SC34Q18	SC34Q19	SC34Q20	SC34Q22	SC35Q01	SC35Q02	SC39Q01	SC39Q02	SC39Q03	SC39Q05	SC39Q06	SC39Q07	SC39Q08	SC39Q09	SC39Q10	SC40Q01	SC40Q02	SC40Q03	SC44Q01	SC44Q02	SC44Q03	SC44Q04	SC44Q05	SC44Q06	SC47Q01	SC45Q01	SC46Q01	SC46Q02	SC46Q03	SC46Q05	SC46Q04	SC46Q06	SC46Q09	SC52Q01	SC46Q07	SC46Q08	SC52Q02	SC51Q01	SC51Q02	ABGMATH	ASSESS	CLSIZE	COMPWEB	CREACTIV	LEADCOM	LEADINST	LEADPD	LEADTCH	MACTIV	MATHEXC	PCGIRLS	PROPCERT	PROPMA5A	PROPMATH	PROPQUAL	RATCMP15	RESPCUR	RESPRES	SCHAUTON	SCHLTYPE	SCHSEL	SCHSIZE	SCMATBUI	SCMATEDU	SMRATIO	STRATIO	STUDCLIM	TCFOCST	TCHPARTI	TCMORALE	TCSHORT	TEACCLIM	W_FSCHWT	SENWGT_SCQ	VER_SCQ	ausSC53A01	ausSC53A02	ausSC53A03	ausSC54A01	ausSC54A02	ausSC54A03	ausSC55A01	ausSC56A01
AUS	0360000	AUS0309	1	003600	0000001	2	46	48	0	6	4	1	03	781	814	94	45	94	44	89	42	7	6	7	6	4	4	7	6	0	0	172	190	190	3	4	5	3	3	3	3	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	2	2	3	2	1	1	1	2	2	2	1	1	1	2	2	3	1	1	2	1	2	5	8	10	75	2	10	0	1	1	1	1	0	2	2	1	2	2	2	2	3	3	2	1	1	1	2	1	1	2	2	1	2	2	3	2	1	1	1	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	6	3	4	4	2	5	5	6	6	3	5	4	6	5	6	4	3	4	3	3	2	5	80	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	7	23	1	3	.5331	.493	1.0394	.2118	4	3	.51	.996	.6	.086	.944	1.105	1.44	2.71	1.6038	1	3	1595	.5582	1.976	159.5	13.691	.3493	-1.2132	.2924	.0826	1.7565	.2464	5.0168	1.9949	28NOV13	50	50	50	5	5	5	30	172
AUS	0360000	AUS0205	1	003600	0000002	1	95	5	0	0	8	1	04	390	380	50	6	50	6	50	6	7	0	7	0	4	0	7	0	0	0	148	95	95	2	2	2	3	2	1	3	3	3	3	2	3	3	4	3	3	2	2	1	3	1	2	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	1	2	9	3	3	2	2	3	3	1	2	1	1	2	1	1	2	2	2	2	1	1	4	2	5	5	5	50	1	2	0	0	0	7	2	2	2	2	2	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	3	3	1	1	1	2	2	1	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	2	6	6	6	6	6	5	5	6	6	5	5	3	4	4	4	3	4	4	4	4	2	10	80	1	1	1	1	2	2	1	2	2	2	2	1	1	1	1	1	3	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	28	1	1	1.7359	1.5109	.3739	.4499	1	9	.494	1	.571	.132	1	.642	-.25	-.62	-.6029	3	3	770	-1.4636	-1.053	110	14.528	-.8253	.702	1.2429	.0826	.9454	.6468	3.5352	1.4058	28NOV13	52	52	52	4	4	4	27	27
AUS	0360000	AUS0102	1	003600	0000003	1	99.96	0	.04	0	6	1	04	531	627	102	7	102	7	102	7	11	1	11	1	9	1	2	0	0	0	186	250	250	2	3	4	2	2	2	2	3	3	3	3	2	2	3	2	3	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	2	1	2	3	4	1	2	2	2	2	1	1	0	1	2	5	25	70	15	10	1	5	1	1	30	0	1	1	1	1	2	3	1	3	2	1	2	1	1	2	1	1	2	2	2	2	3	2	2	1	2	2	3	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	2	1	2	2	2	1	1	2	1	1	1	1	2	1	1	6	6	6	6	6	5	5	5	5	6	6	5	4	5	4	4	6	4	5	5	2	1	10	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	5	28	1	3	2.1016	1.1806	.1183	1.6033	4	2	.541	1	.826	.109	1	1.344	-.67	-.53	-.0586	3	2	1158	-.763	-.87	100.696	10.976	.0882	-.6748	.7801	1.4452	.7093	-.2762	1	.3976	28NOV13	60	60	60	3	3	3	23	186
AUS	0360000	AUS0514	1	003600	0000004	1	96	4	0	0	5	1	04	541	445	63	9	63	9	63	9	9	1	9	1	5	0	5	0	0	0	9997	9997	9997	3	3	4	3	3	1	3	3	3	2	9	9	9	9	9	9	2	2	2	2	1	1	1	1	1	1	2	9	9	9	9	1	1	1	2	1	1	1	9	2	1	2	9	3	3	3	2	2	2	2	2	1	9	9	9	9	9	9	9	9	9	9	10	2	20	30	30	40	0	3	0	9999	9999	9999	9999	9999	1	1	1	1	2	3	2	3	3	9	1	1	1	2	2	2	3	3	3	2	3	2	3	1	2	2	3	2	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3	6	6	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	5	30	1	1	1	1	1	2	1	9	9	1	2	1	1	1	1	1	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	28	9998	2	1.1443	1.0563	9999	9999	2	9	.451	1	.526	.141	1	9997	-.81	-.02	-1.0532	3	3	986	9999	-.8237	103.789	14.607	-.8253	-1.2132	.2924	1.4452	1.1868	.972	1.1103	.4415	28NOV13	50	50	50	4	4	4	29	27
AUS	0360000	AUS0514	1	003600	0000005	1	90	10	0	0	7	1	03	600	700	85	10	85	10	85	10	15	2	15	2	15	2	15	2	0	0	270	270	270	3	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	2	2	2	2	9	3	3	3	3	2	2	2	3	2	2	3	3	1	2	2	2	2	2	2	.5	2	5	20	10	20	0	.5	.1	0	0	.1	0	0	2	2	2	2	2	2	1	1	3	1	1	1	2	2	1	1	2	2	3	2	2	2	3	1	2	3	3	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2	1	2	1	2	2	1	2	2	1	2	1	2	2	1	2	1	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	3	4	5	4	4	5	4	4	4	4	5	3	3	4	4	4	2	4	2	3	3	1	5	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	6	23	1	2	.7162	.493	-.6241	.2118	1	9	.538	1	1	.178	1	1	.03	-.46	-.0586	3	3	1300	1.3052	1.976	81.25	14.444	-1.2067	.0095	-.1437	-.7371	-.2817	-.5953	1	.3976	28NOV13	90	90	90	9999	9999	9999	35	270
AUS	0360000	AUS0515	1	003600	0000006	2	64	28	1	7	7	1	03	106	79	15	6	15	6	15	6	3	0	3	0	2	0	3	0	0	0	28	65	65	2	3	2	1	1	1	1	1	1	1	1	1	2	4	3	4	3	3	3	3	1	1	2	2	2	1	2	2	2	1	2	1	1	1	2	1	1	1	2	1	2	1	3	3	2	3	2	2	2	2	2	2	2	3	4	2	2	1	2	2	2	2	0	1	5	5	15	15	1	2	0	1	0	1	1	0	1	1	1	1	1	3	1	1	1	2	2	1	1	1	1	1	1	1	2	3	2	2	3	3	1	2	1	2	1	2	2	1	2	2	2	1	1	2	2	1	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	2	1	1	1	2	2	1	1	2	2	2	1	2	1	2	2	1	1	2	2	2	1	1	2	2	1	1	2	2	1	2	2	4	3	3	5	4	3	2	2	4	4	2	2	2	2	2	3	3	4	2	1	5	0	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	1	6	23	1	2	-.3532	.0432	-1.7186	-.3206	3	3	.427	1	.667	.167	1	2.321	-.43	-.44	.8184	2	3	185	-1.9349	1.1619	61.667	10.278	-.6182	2.1197	.7801	1.4452	-1.0911	-.7478	4.9709	1.9766	28NOV13	45	45	45	4	4	4	34	24
AUS	0360000	AUS0411	1	003600	0000007	1	90	10	0	0	6	1	04	998	1054	139	8	139	8	139	8	55	0	55	0	15	0	55	0	0	0	183	183	183	3	3	3	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	2	2	2	2	2	2	2	2	1	2	2	1	1	2	1	2	2	1	1	0	2	15	80	30	40	3	3	5	5	5	5	5	0	2	2	2	2	2	3	2	3	2	2	1	2	1	2	1	1	3	2	3	2	3	2	2	1	2	1	3	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	5	4	4	3	4	3	3	5	4	4	3	4	4	4	4	3	4	3	3	3	20	100	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	28	1	3	.7162	-.2137	-.3717	-.0388	3	3	.514	1	.273	.385	1	1	-.81	-.56	-1.5265	3	2	2052	.5582	1.1619	37.309	14.35	-.1621	-.6748	-1.8472	-.7371	-1.0911	.6468	2.5155	1.0003	28NOV13	70	70	70	3	3	3	20	183
AUS	0360000	AUS0103	1	003600	0000008	2	75	24	1	0	6	2	03	162	128	12	10	12	10	12	10	0	3	0	3	0	1	0	3	0	0	27	30	30	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	2	1	1	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	1	2	9	1	1	3	2	1	2	1	1	2	2	3	2	2	2	1	1	2	2	2	0	2	20	40	50	60	50	10	1	10	5	4	10	2	1	1	1	1	2	3	2	2	2	2	2	2	1	2	1	1	2	1	1	1	2	3	2	3	2	2	1	1	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	3	4	4	5	5	4	3	4	5	5	3	4	4	4	4	4	5	5	3	3	0	0	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	23	1	1	.3404	.493	-.3717	.4499	1	9	.441	1	.333	.088	1	1.111	1.44	2.71	1.6038	2	3	290	1.3052	1.976	193.333	17.059	.8936	.0095	1.2429	1.4452	-1.0911	-.2762	1	.3976	28NOV13	50	50	50	3	3	3	30	100
AUS	0360000	AUS0720	1	003600	0000009	1	95	2	3	0	2	1	03	120	110	20	2	20	2	20	2	10	0	9998	0	1	0	10	0	0	0	44	60	60	2	1	2	3	3	3	3	2	2	2	2	2	3	2	2	2	1	3	1	3	1	2	1	2	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	2	3	4	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	15	20	15	20	0	2	0	5	0	2	10	1	2	2	2	2	2	3	2	2	2	2	1	1	1	2	1	1	2	2	3	2	3	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	10	10	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	6	23	1	2	2.8406	2.1468	1.7628	2.258	2	3	.478	1	.1	.476	1	1.364	1.44	-.36	.3196	3	1	230	-.1662	-.3482	23	10.952	-1.3831	.0095	1.2429	-.7371	1.7565	-.4382	1	.3976	28NOV13	250	250	250	5	5	5	30	44
AUS	0360000	AUS0206	1	003600	0000010	2	11	88	1	0	7	1	02	1854	0	274	38	274	38	274	38	22	0	22	0	20	0	21	0	0	0	168	168	168	1	2	3	3	2	1	3	1	1	1	1	1	2	3	1	2	2	2	1	3	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	2	1	2	2	2	1	2	2	1	1	2	2	3	1	1	2	0	1	10	10	15	20	0	0	0	0	1	10	5	4	1	1	1	1	3	1	1	2	2	1	1	1	1	2	1	1	4	2	3	3	3	3	2	3	2	3	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	6	3	5	5	6	6	5	4	6	5	6	3	6	4	5	3	3	4	4	4	3	9	38	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	7	18	1	3	.7162	1.1806	1.0394	.6907	4	3	0	1	.909	.075	1	1	1.44	2.71	1.6038	1	3	1854	-.1662	1.1619	84.273	6.328	.6173	-.6748	.7801	1.4452	.9454	.2464	2.8999	1.1531	28NOV13	50	50	50	5	5	4	30	168
